"ORDER_ID","CUSTOMER_ID","ORDER_DATE","ORDER_STATUS","SHIPPING_ID","DELIVERY_DATE","TRANSACTION_ID","PRODUCT_ID","ORDER_QUANTITY","RETURN_QUANTITY","RETURN_DATE"
"OD10001","C20",2024-02-19,"Delivered","SH10001",2024-02-22,"TR10001","SKU11252",3,"",NA
"OD10001","C20",2024-02-19,"Delivered","SH10001",2024-02-22,"TR10001","SKU12730",3,"",NA
"OD10001","C20",2024-02-19,"Delivered","SH10001",2024-02-22,"TR10001","SKU10703",5,"",NA
"OD10001","C20",2024-02-19,"Delivered","SH10001",2024-02-22,"TR10001","SKU12909",2,"",NA
"OD10001","C20",2024-02-19,"Delivered","SH10001",2024-02-22,"TR10001","SKU14615",1,"",NA
"OD10001","C20",2024-02-19,"Delivered","SH10001",2024-02-22,"TR10001","SKU10395",1,"",NA
"OD10002","C137",2023-04-26,"Delivered","SH10002",2023-04-30,"TR10002","SKU14108",4,"",NA
"OD10002","C137",2023-04-26,"Delivered","SH10002",2023-04-30,"TR10002","SKU12460",4,"",NA
"OD10002","C137",2023-04-26,"Delivered","SH10002",2023-04-30,"TR10002","SKU10295",2,"",NA
"OD10002","C137",2023-04-26,"Delivered","SH10002",2023-04-30,"TR10002","SKU10443",3,"",NA
"OD10002","C137",2023-04-26,"Delivered","SH10002",2023-04-30,"TR10002","SKU13232",2,"",NA
"OD10002","C137",2023-04-26,"Delivered","SH10002",2023-04-30,"TR10002","SKU13562",3,"",NA
"OD10002","C137",2023-04-26,"Delivered","SH10002",2023-04-30,"TR10002","SKU12883",4,"",NA
"OD10002","C137",2023-04-26,"Delivered","SH10002",2023-04-30,"TR10002","SKU14670",3,"",NA
"OD10002","C137",2023-04-26,"Delivered","SH10002",2023-04-30,"TR10002","SKU14309",3,"",NA
"OD10003","C29",2024-01-20,"Delivered","SH10003",2024-01-25,"TR10003","SKU11684",3,"",NA
"OD10003","C29",2024-01-20,"Delivered","SH10003",2024-01-25,"TR10003","SKU10658",2,"",NA
"OD10003","C29",2024-01-20,"Delivered","SH10003",2024-01-25,"TR10003","SKU11386",3,"",NA
"OD10004","C121",2023-06-01,"Returned","SH10004",2023-06-07,"TR10004","SKU12924",1,"1",2023-06-30
"OD10004","C121",2023-06-01,"Returned","SH10004",2023-06-07,"TR10004","SKU10515",1,"1",2023-06-27
"OD10004","C121",2023-06-01,"Returned","SH10004",2023-06-07,"TR10004","SKU12127",4,"4",2023-06-21
"OD10005","C57",2023-12-31,"Delivered","SH10005",2024-01-04,"TR10005","SKU13743",1,"",NA
"OD10005","C57",2023-12-31,"Delivered","SH10005",2024-01-04,"TR10005","SKU12957",2,"",NA
"OD10005","C57",2023-12-31,"Delivered","SH10005",2024-01-04,"TR10005","SKU13995",2,"",NA
"OD10005","C57",2023-12-31,"Delivered","SH10005",2024-01-04,"TR10005","SKU10201",3,"",NA
"OD10005","C57",2023-12-31,"Delivered","SH10005",2024-01-04,"TR10005","SKU14352",2,"",NA
"OD10006","C172",2024-01-23,"Delivered","SH10006",2024-01-25,"TR10006","SKU13697",3,"",NA
"OD10006","C172",2024-01-23,"Delivered","SH10006",2024-01-25,"TR10006","SKU10272",4,"",NA
"OD10006","C172",2024-01-23,"Delivered","SH10006",2024-01-25,"TR10006","SKU12181",4,"",NA
"OD10006","C172",2024-01-23,"Delivered","SH10006",2024-01-25,"TR10006","SKU12561",3,"",NA
"OD10006","C172",2024-01-23,"Delivered","SH10006",2024-01-25,"TR10006","SKU12956",2,"",NA
"OD10006","C172",2024-01-23,"Delivered","SH10006",2024-01-25,"TR10006","SKU13138",3,"",NA
"OD10006","C172",2024-01-23,"Delivered","SH10006",2024-01-25,"TR10006","SKU13291",2,"",NA
"OD10006","C172",2024-01-23,"Delivered","SH10006",2024-01-25,"TR10006","SKU14130",3,"",NA
"OD10007","C98",2023-06-02,"Returned","SH10007",2023-06-03,"TR10007","SKU13882",5,"2",2023-06-18
"OD10007","C98",2023-06-02,"Returned","SH10007",2023-06-03,"TR10007","SKU13806",5,"5",2023-06-27
"OD10007","C98",2023-06-02,"Returned","SH10007",2023-06-03,"TR10007","SKU10909",1,"1",2023-06-11
"OD10008","C196",2024-02-11,"Delivered","SH10008",2024-02-16,"TR10008","SKU12996",3,"",NA
"OD10008","C196",2024-02-11,"Delivered","SH10008",2024-02-16,"TR10008","SKU14587",5,"",NA
"OD10008","C196",2024-02-11,"Delivered","SH10008",2024-02-16,"TR10008","SKU11088",3,"",NA
"OD10008","C196",2024-02-11,"Delivered","SH10008",2024-02-16,"TR10008","SKU13784",2,"",NA
"OD10008","C196",2024-02-11,"Delivered","SH10008",2024-02-16,"TR10008","SKU10210",3,"",NA
"OD10008","C196",2024-02-11,"Delivered","SH10008",2024-02-16,"TR10008","SKU14855",4,"",NA
"OD10008","C196",2024-02-11,"Delivered","SH10008",2024-02-16,"TR10008","SKU12461",3,"",NA
"OD10008","C196",2024-02-11,"Delivered","SH10008",2024-02-16,"TR10008","SKU13468",2,"",NA
"OD10009","C2",2023-01-14,"Delivered","SH10009",2023-01-16,"TR10009","SKU10036",1,"",NA
"OD10009","C2",2023-01-14,"Delivered","SH10009",2023-01-16,"TR10009","SKU10737",3,"",NA
"OD10009","C2",2023-01-14,"Delivered","SH10009",2023-01-16,"TR10009","SKU14469",5,"",NA
"OD10009","C2",2023-01-14,"Delivered","SH10009",2023-01-16,"TR10009","SKU10828",3,"",NA
"OD10009","C2",2023-01-14,"Delivered","SH10009",2023-01-16,"TR10009","SKU11050",3,"",NA
"OD10010","C89",2023-09-04,"Delivered","SH10010",2023-09-10,"TR10010","SKU11290",5,"",NA
"OD10010","C89",2023-09-04,"Delivered","SH10010",2023-09-10,"TR10010","SKU11395",4,"",NA
"OD10010","C89",2023-09-04,"Delivered","SH10010",2023-09-10,"TR10010","SKU13274",4,"",NA
"OD10010","C89",2023-09-04,"Delivered","SH10010",2023-09-10,"TR10010","SKU14658",3,"",NA
"OD10011","C64",2023-08-03,"Delivered","SH10011",2023-08-08,"TR10011","SKU14503",4,"",NA
"OD10011","C64",2023-08-03,"Delivered","SH10011",2023-08-08,"TR10011","SKU10360",2,"",NA
"OD10011","C64",2023-08-03,"Delivered","SH10011",2023-08-08,"TR10011","SKU11785",4,"",NA
"OD10012","C139",2023-09-29,"Delivered","SH10012",2023-10-01,"TR10012","SKU14051",1,"",NA
"OD10012","C139",2023-09-29,"Delivered","SH10012",2023-10-01,"TR10012","SKU13651",4,"",NA
"OD10012","C139",2023-09-29,"Delivered","SH10012",2023-10-01,"TR10012","SKU10576",2,"",NA
"OD10012","C139",2023-09-29,"Delivered","SH10012",2023-10-01,"TR10012","SKU10309",5,"",NA
"OD10012","C139",2023-09-29,"Delivered","SH10012",2023-10-01,"TR10012","SKU14646",3,"",NA
"OD10012","C139",2023-09-29,"Delivered","SH10012",2023-10-01,"TR10012","SKU12916",3,"",NA
"OD10012","C139",2023-09-29,"Delivered","SH10012",2023-10-01,"TR10012","SKU13201",1,"",NA
"OD10012","C139",2023-09-29,"Delivered","SH10012",2023-10-01,"TR10012","SKU13391",1,"",NA
"OD10012","C139",2023-09-29,"Delivered","SH10012",2023-10-01,"TR10012","SKU12937",2,"",NA
"OD10013","C175",2023-08-18,"Returned","SH10013",2023-08-20,"TR10013","SKU12641",3,"1",2023-09-03
"OD10013","C175",2023-08-18,"Returned","SH10013",2023-08-20,"TR10013","SKU14646",2,"1",2023-08-30
"OD10013","C175",2023-08-18,"Returned","SH10013",2023-08-20,"TR10013","SKU11164",5,"5",2023-08-31
"OD10013","C175",2023-08-18,"Returned","SH10013",2023-08-20,"TR10013","SKU14370",3,"1",2023-08-31
"OD10013","C175",2023-08-18,"Returned","SH10013",2023-08-20,"TR10013","SKU11750",4,"3",2023-09-06
"OD10013","C175",2023-08-18,"Returned","SH10013",2023-08-20,"TR10013","SKU12608",2,"1",2023-09-02
"OD10013","C175",2023-08-18,"Returned","SH10013",2023-08-20,"TR10013","SKU10754",3,"2",2023-09-07
"OD10013","C175",2023-08-18,"Returned","SH10013",2023-08-20,"TR10013","SKU13398",3,"1",2023-09-07
