"TRANSACTION_ID","PAYMENT_METHOD","TRANSACTION_STATUS"
"TR11060","Debit card","Successful"
"TR11061","Credit card","Successful"
"TR11062","Debit card","Successful"
"TR11063","Credit card","Successful"
"TR11064","Credit card","Successful"
"TR11065","Credit card","Declined"
"TR11066","Debit card","Successful"
"TR11067","Credit card","Successful"
"TR11068","Credit card","Successful"
"TR11069","Credit card","Successful"
"TR11070","Debit card","Successful"
"TR11071","Debit card","Successful"
"TR11072","Credit card","Successful"
"TR11073","Debit card","Successful"
"TR11074","Credit card","Successful"
"TR11075","Debit card","Successful"
"TR11076","Paypal","Successful"
"TR11077","Debit card","Successful"
"TR11078","Paypal","Successful"
"TR11079","Credit card","Successful"
"TR11080","Credit card","Successful"
"TR11081","Debit card","Successful"
"TR11082","Credit card","Successful"
"TR11083","Credit card","Successful"
"TR11084","Credit card","Successful"
"TR11085","Credit card","Declined"
"TR11086","Credit card","Successful"
"TR11087","Debit card","Successful"
"TR11088","Debit card","Successful"
"TR11089","Paypal","Successful"
"TR11090","Credit card","Successful"
"TR11091","Credit card","Successful"
"TR11092","Credit card","Successful"
"TR11093","Credit card","Successful"
"TR11094","Debit card","Successful"
"TR11095","Credit card","Successful"
"TR11096","Credit card","Successful"
"TR11097","Debit card","Successful"
"TR11098","Paypal","Successful"
"TR11099","Credit card","Successful"
"TR11100","Debit card","Successful"
"TR11101","Credit card","Successful"
"TR11102","Credit card","Successful"
"TR11103","Paypal","Successful"
"TR11104","Paypal","Successful"
"TR11105","Debit card","Successful"
"TR11106","Credit card","Successful"
"TR11107","Debit card","Successful"
"TR11108","Debit card","Successful"
"TR11109","Debit card","Successful"
"TR11110","Debit card","Successful"
"TR11111","Credit card","Successful"
"TR11112","Credit card","Successful"
"TR11113","Debit card","Successful"
"TR11114","Credit card","Successful"
"TR11115","Paypal","Successful"
"TR11116","Paypal","Successful"
"TR11117","Debit card","Successful"
"TR11118","Debit card","Declined"
"TR11119","Credit card","Successful"
"TR11120","Credit card","Successful"
"TR11121","Paypal","Successful"
"TR11122","Credit card","Successful"
"TR11123","Credit card","Successful"
"TR11124","Credit card","Declined"
"TR11125","Paypal","Successful"
"TR11126","Paypal","Successful"
"TR11127","Credit card","Successful"
"TR11128","Gift Card","Successful"
"TR11129","Debit card","Successful"
"TR11130","Credit card","Successful"
"TR11131","Debit card","Successful"
"TR11132","Paypal","Successful"
"TR11133","Credit card","Successful"
"TR11134","Debit card","Successful"
"TR11135","Debit card","Successful"
"TR11136","Credit card","Successful"
"TR11137","Credit card","Successful"
"TR11138","Credit card","Successful"
"TR11139","Debit card","Successful"
"TR11140","Debit card","Successful"
"TR11141","Debit card","Successful"
"TR11142","Debit card","Successful"
"TR11143","Credit card","Successful"
"TR11144","Debit card","Successful"
"TR11145","Credit card","Successful"
"TR11146","Credit card","Successful"
"TR11147","Paypal","Successful"
"TR11148","Credit card","Successful"
"TR11149","Credit card","Successful"
"TR11150","Paypal","Successful"
"TR11151","Credit card","Successful"
"TR11152","Debit card","Successful"
"TR11153","Paypal","Successful"
"TR11154","Credit card","Declined"
"TR11155","Credit card","Declined"
"TR11156","Credit card","Successful"
"TR11157","Paypal","Successful"
"TR11158","Credit card","Declined"
"TR11159","Gift Card","Successful"
"TR11160","Credit card","Successful"
"TR11161","Debit card","Successful"
"TR11162","Credit card","Successful"
"TR11163","Credit card","Successful"
"TR11164","Credit card","Successful"
"TR11165","Debit card","Declined"
"TR11166","Credit card","Successful"
"TR11167","Paypal","Successful"
"TR11168","Debit card","Successful"
"TR11169","Debit card","Declined"
"TR11170","Credit card","Successful"
"TR11171","Debit card","Successful"
"TR11172","Debit card","Successful"
"TR11173","Paypal","Successful"
"TR11174","Paypal","Successful"
"TR11175","Credit card","Successful"
"TR11176","Credit card","Successful"
"TR11177","Credit card","Successful"
"TR11178","Credit card","Successful"
"TR11179","Debit card","Declined"
"TR11180","Paypal","Successful"
"TR11181","Credit card","Successful"
"TR11182","Credit card","Successful"
"TR11183","Paypal","Successful"
"TR11184","Credit card","Successful"
"TR11185","Paypal","Successful"
"TR11186","Credit card","Successful"
"TR11187","Credit card","Successful"
"TR11188","Debit card","Successful"
"TR11189","Credit card","Successful"
"TR11190","Credit card","Successful"
"TR11191","Debit card","Successful"
"TR11192","Gift Card","Successful"
"TR11193","Debit card","Successful"
"TR11194","Credit card","Successful"
"TR11195","Debit card","Successful"
"TR11196","Credit card","Successful"
"TR11197","Debit card","Successful"
"TR11198","Gift Card","Successful"
"TR11199","Credit card","Successful"
"TR11200","Debit card","Successful"
"TR11201","Credit card","Successful"
"TR11202","Paypal","Successful"
"TR11203","Credit card","Declined"
"TR11204","Paypal","Successful"
"TR11205","Paypal","Successful"
"TR11206","Credit card","Successful"
"TR11207","Paypal","Successful"
"TR11208","Credit card","Successful"
"TR11209","Gift Card","Successful"
"TR11210","Debit card","Successful"
"TR11211","Credit card","Successful"
"TR11212","Credit card","Declined"
