"SHIPPING_ID","POST_CODE","CARRIER"
"SH10001","KY8 5NP","Royal Mail"
"SH10002","ST13 6QN","Evri"
"SH10003","SN6 6NQ","Royal Mail"
"SH10004","SA4 4GA","Royal Mail"
"SH10005","WD18 0DY","DHL"
"SH10006","SK3 0UT","DHL"
"SH10007","NN10 6DT","UPS"
"SH10008","CV2 1RF","UPS"
"SH10009","SK11 9JW","Royal Mail"
"SH10010","CO10 1AJ","Evri"
"SH10011","DE22 2HH","UPS"
"SH10012","OX16 9DG","Evri"
"SH10013","NG18 1BN","UPS"
"SH10014","KA22 8LN","Royal Mail"
"SH10015","GL6 7NN","UPS"
"SH10016","LS29 6RY","UPS"
"SH10017","PE9 2GF","FedEx"
"SH10018","CM18 7RP","FedEx"
"SH10019","LU5 4TB","Royal Mail"
"SH10020","DL2 1BW","Evri"
"SH10021","OX7 4FL","Royal Mail"
"SH10022","B13 3PZ","DHL"
"SH10023","FK9 4LA","DHL"
"SH10024","NE34 8DS","UPS"
"SH10025","SA20 0UH","Evri"
"SH10026","DN20 0AY","Evri"
"SH10027","SY14 7EZ","Evri"
"SH10028","BN2 8DD","Royal Mail"
"SH10029","LA13 9HB","FedEx"
"SH10030","WA9 1AR","FedEx"
"SH10031","BN22 9LA","Royal Mail"
"SH10032","PL6 5HE","Royal Mail"
"SH10033","EN9 1DX","FedEx"
"SH10034","CO6 2AD","Evri"
"SH10035","TQ12 6LE","UPS"
"SH10036","CF5 4GA","DHL"
"SH10037","SA5 9JW","Royal Mail"
"SH10038","W1K 2TB","Royal Mail"
"SH10039","BR2 8LN","UPS"
"SH10040","M22 4XN","Royal Mail"
"SH10041","CV34 4LQ","UPS"
"SH10042","WS11 9FB","Royal Mail"
"SH10043","TN2 9QG","Evri"
"SH10044","AB24 5QU","Royal Mail"
"SH10045","G81 4NT","Royal Mail"
"SH10046","RG7 2PR","Evri"
"SH10047","NR16 2ST","Royal Mail"
"SH10048","NE62 5XT","Royal Mail"
"SH10049","PE20 2LU","DHL"
"SH10050","TD11 3DE","Evri"
"SH10051","WS11 7LJ","Royal Mail"
"SH10052","CW9 5BY","Royal Mail"
"SH10053","EX33 2AB","FedEx"
"SH10054","PL5 4EJ","DHL"
"SH10055","CA14 1LZ","Evri"
"SH10056","BD4 7JN","UPS"
"SH10057","GU14 9NY","UPS"
"SH10058","FK10 4AR","UPS"
"SH10059","RH1 2BE","FedEx"
"SH10060","WV10 7ND","UPS"
"SH10061","NW6 1TE","DHL"
"SH10062","E13 0DH","Evri"
"SH10063","TW8 0JT","UPS"
"SH10064","CF15 8DT","DHL"
"SH10065","S72 9FQ","DHL"
"SH10066","LA23 1LZ","FedEx"
"SH10067","B92 8NN","DHL"
"SH10068","B38 8EJ","DHL"
"SH10069","GU23 6LW","DHL"
"SH10070","BD15 7TS","Evri"
"SH10071","DY11 5EH","DHL"
"SH10072","TA6 7NZ","Royal Mail"
"SH10073","EH11 1EU","UPS"
"SH10074","DE12 6AT","Evri"
"SH10075","WR8 0BT","Royal Mail"
"SH10076","E1 2JL","DHL"
"SH10077","RM14 2AZ","FedEx"
"SH10078","CF15 9NX","DHL"
"SH10079","LU2 0HH","FedEx"
"SH10080","CF44 9AL","UPS"
"SH10081","KT1 4HS","DHL"
"SH10082","L2 9QA","Evri"
"SH10083","RG4 7JD","FedEx"
"SH10084","S63 0HX","UPS"
"SH10085","SO14 3TG","DHL"
"SH10086","CV3 5FL","Evri"
"SH10087","PO38 2RA","Evri"
"SH10088","B19 3BZ","FedEx"
"SH10089","TQ12 3SU","Evri"
"SH10090","LS11 9SG","DHL"
"SH10091","BR6 7BH","Evri"
"SH10092","IM4 2AS","FedEx"
"SH10093","OX20 1UA","Evri"
"SH10094","SA33 5DR","FedEx"
"SH10095","SO18 1NL","Evri"
"SH10096","DE14 2BY","UPS"
"SH10097","BT14 7NA","UPS"
"SH10098","KT24 6AY","Evri"
"SH10099","OL12 9EH","Evri"
"SH10100","CV4 8JF","DHL"
"SH10101","CV37 9LH","Royal Mail"
"SH10102","MK17 8NU","FedEx"
"SH10103","CM1 2DN","UPS"
"SH10104","BL2 2JL","Evri"
"SH10105","RM16 5UQ","Evri"
"SH10106","PA16 9HS","UPS"
"SH10107","YO51 9GY","Royal Mail"
"SH10108","SK1 1RW","Evri"
"SH10109","L21 1WY","Royal Mail"
"SH10110","CT2 7TF","FedEx"
"SH10111","TA6 4XY","FedEx"
"SH10112","DD2 2PE","Royal Mail"
"SH10113","CM6 1BB","Evri"
"SH10114","DN35 8HZ","Royal Mail"
"SH10115","SK4 4BQ","Evri"
"SH10116","NW11 0HG","DHL"
"SH10117","IM7 3ED","DHL"
"SH10118","PR4 5JZ","UPS"
"SH10119","SY8 4JX","Evri"
"SH10120","BD18 1JY","Evri"
"SH10121","SS1 2PU","DHL"
"SH10122","NE48 3PB","DHL"
"SH10123","CH44 9DL","Evri"
"SH10124","TN21 0DB","FedEx"
"SH10125","YO43 3QW","FedEx"
"SH10126","BS28 4EP","DHL"
"SH10127","TR13 0AJ","DHL"
"SH10128","IP12 2JR","UPS"
"SH10129","EH5 1NT","Royal Mail"
"SH10130","SA32 8LG","Evri"
"SH10131","TN25 6PQ","UPS"
"SH10132","IP31 1SP","Evri"
"SH10133","SO15 5NU","UPS"
"SH10134","CV13 0JN","Royal Mail"
"SH10135","CV7 9NS","Royal Mail"
"SH10136","ST5 3HE","UPS"
"SH10137","GU14 9DL","UPS"
"SH10138","BN27 1TT","FedEx"
"SH10139","CH44 7DF","UPS"
"SH10140","LL15 1JE","Evri"
"SH10141","BT45 6BB","Evri"
"SH10142","WN1 3LD","UPS"
"SH10143","E11 4YA","Evri"
"SH10144","WS13 7BX","DHL"
"SH10145","HA8 7RG","Evri"
"SH10146","BN2 5GP","UPS"
"SH10147","SN26 7DE","Royal Mail"
"SH10148","M20 6JJ","Royal Mail"
"SH10149","CA5 6PA","UPS"
"SH10150","BT53 7UH","FedEx"
"SH10151","L36 0XS","UPS"
"SH10152","PO16 7BL","Royal Mail"
"SH10153","LE12 5JQ","DHL"
"SH10154","W1F 7RS","FedEx"
"SH10155","HD1 6BA","Royal Mail"
"SH10156","G33 4HX","UPS"
"SH10157","TQ5 9AZ","DHL"
"SH10158","ML1 5XF","UPS"
"SH10159","CV12 8BE","DHL"
"SH10160","NE20 0DX","UPS"
"SH10161","CM15 9PN","DHL"
"SH10162","TD9 0DZ","Evri"
"SH10163","SL1 6EB","Evri"
"SH10164","IM99 3ED","UPS"
"SH10165","BH12 3BL","DHL"
"SH10166","DN21 1EB","DHL"
"SH10167","DN8 5FJ","FedEx"
"SH10168","SR7 8AR","Evri"
"SH10169","LE17 4EF","DHL"
"SH10170","PO7 5LF","DHL"
"SH10171","LA3 3BN","FedEx"
"SH10172","DY13 8BA","FedEx"
"SH10173","B70 6HQ","UPS"
"SH10174","CH44 8AA","UPS"
"SH10175","G77 6NJ","UPS"
"SH10176","DH7 8LF","Royal Mail"
"SH10177","EX12 2NP","Evri"
"SH10178","L25 1PP","DHL"
"SH10179","SA11 3DF","DHL"
"SH10180","BT51 3RP","UPS"
"SH10181","GL2 0TZ","UPS"
"SH10182","DD2 2AR","DHL"
"SH10183","M19 3DA","DHL"
"SH10184","NG17 4NX","UPS"
"SH10185","NR13 6LG","Evri"
"SH10186","DY9 7NT","FedEx"
"SH10187","BT79 0AN","FedEx"
"SH10188","AB39 3NT","Royal Mail"
"SH10189","CF81 9JP","Evri"
"SH10190","DY8 1TA","FedEx"
"SH10191","DY11 5PW","Evri"
"SH10192","DE12 6QJ","Royal Mail"
"SH10193","SP2 9GS","DHL"
"SH10194","IV19 1NT","FedEx"
